A;Äidinkieli ja kirjallisuus, suomi;Modersmål och litteratur, finska
O;Äidinkieli ja kirjallisuus, ruotsi;Modersmål och litteratur, svenska
Z;Äidinkieli ja kirjallisuus, pohjoissaame;Modersmål och litteratur, nordsamiska
I;Äidinkieli ja kirjallisuus, inarinsaame;Modersmål och litteratur, enaresamiska
W;Äidinkieli ja kirjallisuus, koltansaame;Modersmål och litteratur, skoltsamiska
A5;Äidinkieli ja kirjallisuus, suomi toisena kielenä;Modersmål och litteratur, finska som andraspråk
O5;Äidinkieli ja kirjallisuus ruotsi toisena kielenä;Modersmål och litteratur, svenska som andraspråk
BA;Ruotsi, pitkä oppimäärä;Svenska, lång lärokurs
BB;Ruotsi, keskipitkä oppimäärä;Svenska, medellång lärokurs
CA;Suomi, pitkä oppimäärä;Finska, lång lärokurs
CB;Suomi, keskipitkä oppimäärä;Finska, medellång lärokurs
M;Matematiikka, pitkä oppimäärä;Matematik, lång lärokurs
N;Matematiikka, lyhyt oppimäärä;Matematik, kort lärokurs
EA;Englanti, pitkä oppimäärä;Engelska, lång lärokurs
FA;Ranska, pitkä oppimäärä;Franska, lång lärokurs
PA;Espanja, pitkä oppimäärä;Spanska, lång lärokurs
SA;Saksa, pitkä oppimäärä;Tyska, lång lärokurs
VA;Venäjä, pitkä oppimäärä;Ryska, lång lärokurs
EC;Englanti, lyhyt oppimäärä;Engelska, kort lärokurs
FC;Ranska, lyhyt oppimäärä;Franska, kort lärokurs
PC;Espanja, lyhyt oppimäärä;Spanska, kort lärokurs
SC;Saksa, lyhyt oppimäärä;Tyska, kort lärokurs
VC;Venäjä, lyhyt oppimäärä;Ryska, kort lärokurs
TC;Italia, lyhyt oppimäärä;Italienska, kort lärokurs
GC;Portugali, lyhyt oppimäärä;Portugisiska, kort lärokurs
L7;Latina, laajempi lyhyt oppimäärä;Latin, längre kort lärokurs
L1;Latina, lyhyt oppimäärä;Latin, kort lärokurs
DC;Pohjoissaame, lyhyt oppimäärä;Nordsamiska, kort lärokurs
IC;Inarinsaame, lyhyt oppimäärä;Enaresamiska, kort lärokurs
QC;Koltansaame, lyhyt oppimäärä;Skoltsamiska, kort lärokurs
UE;Evankelis-luterilainen uskonto;Evangelisk-luthersk religion
UO;Ortodoksinen uskonto;Ortodox religion
ET;Elämänkatsomustieto;Livsåskådningskunskap
YH;Yhteiskuntaoppi;Samhällslära
KE;Kemia;Kemi
GE;Maantiede;Geografi
TE;Terveystieto;Hälsokunskap
PS;Psykologia;Psykologi
FF;Filosofia;Filosofi
HI;Historia;Historia
FY;Fysiikka;Fysik
BI;Biologia;Biologi
